ID,Medical importance group,Source,Family,Genus,Species,Epithet,Author,Deparment,Municipality,Locality,Type locality,LAN,LONG,Elevation,Remarks,Model
1,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Antioquia,San Rafael,Unknown,No,6.295122222,-75.02786667,1011.0,,Yes
2,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Antioquia,San Rafael,Tesorito,No,6.295122222,-75.02786667,1011.0,,Yes
3,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Chocó,Quibdó,Carmen del Darien,No,5.687413889,-76.65334167,48.0,,Yes
4,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Antioquia,San Carlos,Unknown,No,6.187977778,-74.99322778,991.0,,Yes
5,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Antioquia,Anorí,Unknown,No,7.073591667,-75.14716667,1588.0,,Yes
6,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Tolima,Melgar,Unknown,No,4.203572222,-74.64338333,321.0,,Yes
7,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Antioquia,Ituango,"La Matanza, cerca a la ví Valle de toledo",No,7.172222222,-75.76439722,1602.0,,Yes
8,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Valle del Cauca,Río Calí,Planta de tratamiento de aguas residuales de Cañaveralejo,No,3.470566667,-76.47871944,951.0,,Yes
9,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Boyacá,Puerto Boyacá,Vereda Maquencal,No,5.975677778,-74.59223889,142.0,,Yes
10,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Antioquia,Remedios,Unknown,No,7.028127778,-74.69360556,728.0,,Yes
11,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Antioquia,Remedios,Unknown,No,7.028127778,-74.69360556,728.0,,Yes
12,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Caldas,Norcasia,Unknown,No,5.576269444,-74.88955833,723.0,,Yes
13,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Valle del Cauca,Buenaventura,Unknown,No,3.883047222,-77.01972222,24.0,,Yes
14,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Antioquia,Maceo,Unknown,No,6.551366667,-74.78729444,939.0,,Yes
15,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Risaralda,Pueblo rico,PNN Tatamá,No,5.062777778,-76.175,1616.0,,Yes
16,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Antioquia,Cedeño,Unknown,No,7.071363889,-75.35495,1586.0,,Yes
17,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Antioquia,Santa Rosa de Osos,Verera El caney,No,6.647002778,-75.46045,2584.0,"Troubled locality, dubious species determination",No
18,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Antioquia,Yolombó,Vereda Altavista,No,6.646205556,-75.01438333,1404.0,,Yes
19,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Antioquia,Nariño,Unknown,No,5.611013889,-75.17416111,1620.0,,Yes
20,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Antioquia,Cocorná,Unknown,No,6.057263889,-75.18559722,1296.0,,Yes
21,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Antioquia,Nariño,Unknown,No,6.375830556,-75.14173611,1647.0,,Yes
22,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Antioquia,Anorí,Zona rural,No,7.073591667,-75.14696667,1588.0,,Yes
23,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Antioquia,Anorí,Zona rural,No,7.073591667,-75.14696667,1588.0,,Yes
24,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Córdoba,Montelibano,Unknown,No,7.976802778,-75.41720833,48.0,,Yes
25,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Tolima,Falan,Unknown,No,5.123883333,-74.95115,971.0,,Yes
26,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Antioquia,Segovia,Unknown,No,7.079744444,-74.70043611,684.0,,Yes
27,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Santander,San Vicente de Chucurí,Zona rural,No,6.878516667,-73.41323333,611.0,,Yes
28,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Antioquia,Cocorná,Vereda El Porvenir,No,6.057263889,-75.18559722,1296.0,,Yes
29,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Antioquia,Caracolí,Unknown,No,6.40875,-74.75761667,631.0,,Yes
30,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Bolívar,Turbaco,Unknown,No,10.33463889,-75.41267222,183.0,,Yes
31,1,1,Viperidae,Bothrops,Bothrops asper,asper,"GARMAN, 1883",Antioquia,Puerto Triunfo,Doradal,No,5.899722222,-74.73380278,238.0,,Yes
